factor,pi,time
148877,3.141599370544006,"2024-04-16 20:53:00"
157464,3.1415863029318056,"2024-04-16 20:54:00"
166375,3.141598664108154,"2024-04-16 20:55:00"
175616,3.141586959347785,"2024-04-16 20:56:00"
185193,3.1415980533619163,"2024-04-16 20:57:00"
195112,3.1415875283283916,"2024-04-16 20:58:00"
205379,3.141597522636734,"2024-04-16 20:59:00"
1,4,"2024-04-16 21:00:00"
1,4,"2024-04-16 21:01:00"
8,3.017071817071818,"2024-04-16 21:02:00"
27,3.1786170109992202,"2024-04-16 21:03:00"
64,3.125968606973288,"2024-04-16 21:04:00"
125,3.1495925256000317,"2024-04-16 21:05:00"
216,3.1369630487667557,"2024-04-16 21:06:00"
343,3.1445080992896712,"2024-04-16 21:07:00"
512,3.139639530452431,"2024-04-16 21:08:00"
729,3.1429643950569854,"2024-04-16 21:09:00"
1000,3.140592653839794,"2024-04-16 21:10:00"
1331,3.14234396828467,"2024-04-16 21:11:00"
1728,3.141013949934539,"2024-04-16 21:12:00"
2197,3.142047819701858,"2024-04-16 21:13:00"
2744,3.1412282221150143,"2024-04-16 21:14:00"
3375,3.14188894987959,"2024-04-16 21:15:00"
4096,3.141348512968434,"2024-04-16 21:16:00"
4913,3.1417961952119438,"2024-04-16 21:17:00"
5832,3.141421185826989,"2024-04-16 21:18:00"
6859,3.141738447436511,"2024-04-16 21:19:00"
8000,3.141467653590268,"2024-04-16 21:20:00"
9261,3.141700633289284,"2024-04-16 21:21:00"
10648,3.141498739239878,"2024-04-16 21:22:00"
12167,3.141674843118693,"2024-04-16 21:23:00"
13824,3.141520315626915,"2024-04-16 21:24:00"
15625,3.141656653589722,"2024-04-16 21:25:00"
17576,3.1415357578228837,"2024-04-16 21:26:00"
19683,3.1416434588531876,"2024-04-16 21:27:00"
21952,3.141547099653953,"2024-04-16 21:28:00"
24389,3.1416336556808755,"2024-04-16 21:29:00"
27000,3.1415556165527665,"2024-04-16 21:30:00"
29791,3.1416262207744947,"2024-04-16 21:31:00"
32768,3.1415621360116797,"2024-04-16 21:32:00"
35937,3.1416204800638963,"2024-04-16 21:33:00"
39304,3.141567210886769,"2024-04-16 21:34:00"
42875,3.1416159772049452,"2024-04-16 21:35:00"
46656,3.1415712201192867,"2024-04-16 21:36:00"
50653,3.141612395757074,"2024-04-16 21:37:00"
54872,3.1415744293588412,"2024-04-16 21:38:00"
59319,3.141609511594793,"2024-04-16 21:39:00"
64000,3.141577028589768,"2024-04-16 21:40:00"
68921,3.141607162955563,"2024-04-16 21:41:00"
74088,3.1415791561272712,"2024-04-16 21:42:00"
79507,3.141605231098648,"2024-04-16 21:43:00"
85184,3.1415809142959636,"2024-04-16 21:44:00"
91125,3.1416036275266306,"2024-04-16 21:45:00"
97336,3.141582379898584,"2024-04-16 21:46:00"
103823,3.1416022853668917,"2024-04-16 21:47:00"
110592,3.1415836113443634,"2024-04-16 21:48:00"
117649,3.1416011534494763,"2024-04-16 21:49:00"
125000,3.141584653589728,"2024-04-16 21:50:00"
132651,3.1416001921684225,"2024-04-16 21:51:00"
140608,3.1415855416188876,"2024-04-16 21:52:00"
